                                                                                      |                                          -                                           |                                         int                                          |                                          ==                                          |                                          {                                           |                                          )                                           |                                        ident                                         |                                          =                                           |                                     int_constant                                     |                                          <=                                          |                                          !=                                          |                                          (                                           |                                          ;                                           |                                         read                                         |                                          $                                           |                                          ]                                           |                                          >=                                          |                                          }                                           |                                         else                                         |                                        return                                        |                                          /                                           |                                         for                                          |                                          +                                           |                                         def                                          |                                          ,                                           |                                          if                                          |                                   string_constant                                    |                                          >                                           |                                          <                                           |                                    float_constant                                    |                                        float                                         |                                        print                                         |                                         new                                          |                                          ∗                                           |                                          [                                           |                                        string                                        |                                        break                                         |                                         null                                         |                                          %                                           |
                                 REC_PLUS_MINUS_TERM                                  |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                    PARAMLISTAUX                                      |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                             PARAMLISTAUX  -> , PARAMLIST                             |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                    NUMEXPRESSION                                     |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                     ATRIB_RIGHT                                      |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                    REC_UNARYEXPR                                     |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                       LVALUE                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                          LVALUE  -> ident OPT_ALLOC_NUMEXP                           |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                      PARAMLIST                                       |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                       FACTOR                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                               FACTOR  -> int_constant                                |                                         None                                         |                                         None                                         |                             FACTOR  -> ( NUMEXPRESSION )                             |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                              FACTOR  -> string_constant                              |                                         None                                         |                                         None                                         |                              FACTOR  -> float_constant                               |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                   FACTOR  -> null                                    |                                         None                                         |
                                       FORSTAT                                        |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |           FORSTAT  -> for ( ATRIBSTAT ; EXPRESSION ; ATRIBSTAT ) STATEMENT           |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                      FUNCCALL                                        |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                         FUNCCALL  -> ident ( PARAMLISTCALL )                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                    PARAMLISTCALL                                     |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                       PARAMLISTCALL  -> ident PARAMLISTCALLAUX                       |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                      UNARYEXPR                                       |                                UNARYEXPR  -> - FACTOR                                |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                UNARYEXPR  -> + FACTOR                                |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                     UNARYEXPR_OP                                     |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                       PROGRAM                                        |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                    PROGRAM  -> &                                     |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
